 Wed, 24 Jan 2018 11:51:58   4.054600 7.214900  
 Wed, 24 Jan 2018 11:52:00   4.055100 7.214900  
 Wed, 24 Jan 2018 11:52:02   4.054500 7.214900  
 Wed, 24 Jan 2018 11:52:03   4.054300 7.215000  
 Wed, 24 Jan 2018 11:52:05   4.055400 7.215000  
 Wed, 24 Jan 2018 11:52:07   4.055800 7.215100  
 Wed, 24 Jan 2018 11:52:09   4.055200 7.215200  
 Wed, 24 Jan 2018 11:52:11   4.055700 7.215400  
 Wed, 24 Jan 2018 11:52:12   4.056300 7.215300  
 Wed, 24 Jan 2018 11:52:14   4.056200 7.215300  
 Wed, 24 Jan 2018 11:52:16   4.055800 7.215500  
 Wed, 24 Jan 2018 11:52:18   4.056500 7.215500  
 Wed, 24 Jan 2018 11:52:20   4.057100 7.215900  
 Wed, 24 Jan 2018 11:52:21   4.101800 7.224000  
 Wed, 24 Jan 2018 11:52:23   4.121900 7.230000  
 Wed, 24 Jan 2018 11:52:25   4.125300 7.234100  
 Wed, 24 Jan 2018 11:52:27   4.124700 7.236000  
 Wed, 24 Jan 2018 11:52:29   4.123500 7.237200  
 Wed, 24 Jan 2018 11:52:30   4.124000 7.237800  
 Wed, 24 Jan 2018 11:52:32   4.124800 7.238300  
 Wed, 24 Jan 2018 11:52:34   4.124500 7.238700  
 Wed, 24 Jan 2018 11:52:36   4.124400 7.239000  
 Wed, 24 Jan 2018 11:52:38   4.125600 7.239300  
 Wed, 24 Jan 2018 11:52:39   4.126300 7.239400  
 Wed, 24 Jan 2018 11:52:41   4.125700 7.239600  
 Wed, 24 Jan 2018 11:52:43   4.125400 7.239800  
 Wed, 24 Jan 2018 11:52:45   4.126100 7.239800  
 Wed, 24 Jan 2018 11:52:47   4.125700 7.239700  
 Wed, 24 Jan 2018 11:52:48   4.124800 7.239800  
 Wed, 24 Jan 2018 11:52:50   4.125100 7.239900  
 Wed, 24 Jan 2018 11:52:52   4.125800 7.239800  
 Wed, 24 Jan 2018 11:52:54   4.124900 7.239800  
 Wed, 24 Jan 2018 11:52:56   4.124000 7.239900  
 Wed, 24 Jan 2018 11:52:57   4.124600 7.239900  
 Wed, 24 Jan 2018 11:52:59   4.125000 7.239700  
 Wed, 24 Jan 2018 11:53:01   4.124200 7.239800  
 Wed, 24 Jan 2018 11:53:03   4.124100 7.239900  
 Wed, 24 Jan 2018 11:53:05   4.125000 7.239900  
 Wed, 24 Jan 2018 11:53:06   4.125200 7.239900  
 Wed, 24 Jan 2018 11:53:08   4.124500 7.239800  
 Wed, 24 Jan 2018 11:53:10   4.123100 7.239900  
 Wed, 24 Jan 2018 11:53:12   4.123100 7.239600  
 Wed, 24 Jan 2018 11:53:14   4.122400 7.239300  
 Wed, 24 Jan 2018 11:53:15   4.120800 7.239200  
 Wed, 24 Jan 2018 11:53:17   4.120100 7.239000  
 Wed, 24 Jan 2018 11:53:19   4.120200 7.238600  
 Wed, 24 Jan 2018 11:53:21   4.119400 7.238400  
 Wed, 24 Jan 2018 11:53:23   4.117900 7.238400  
 Wed, 24 Jan 2018 11:53:24   4.118700 7.238200  
 Wed, 24 Jan 2018 11:53:26   4.118800 7.238100  
 Wed, 24 Jan 2018 11:53:28   4.118000 7.238100  
 Wed, 24 Jan 2018 11:53:30   4.118300 7.238100  
 Wed, 24 Jan 2018 11:53:32   4.119300 7.238100  
 Wed, 24 Jan 2018 11:53:33   4.118800 7.238000  
 Wed, 24 Jan 2018 11:53:35   4.117700 7.238100  
 Wed, 24 Jan 2018 11:53:37   4.117600 7.238100  
 Wed, 24 Jan 2018 11:53:39   4.117400 7.237600  
 Wed, 24 Jan 2018 11:53:41   4.116100 7.237000  
 Wed, 24 Jan 2018 11:53:42   4.115000 7.237500  
 Wed, 24 Jan 2018 11:53:44   4.115300 7.237100  
 Wed, 24 Jan 2018 11:53:46   4.115200 7.236900  
 Wed, 24 Jan 2018 11:53:48   4.114100 7.236900  
 Wed, 24 Jan 2018 11:53:50   4.114300 7.236900  
 Wed, 24 Jan 2018 11:53:51   4.115400 7.236900  
 Wed, 24 Jan 2018 11:53:53   4.115100 7.236900  
 Wed, 24 Jan 2018 11:53:55   4.114300 7.236900  
 Wed, 24 Jan 2018 11:53:57   4.114400 7.236900  
 Wed, 24 Jan 2018 11:53:59   4.114600 7.236700  
 Wed, 24 Jan 2018 11:54:00   4.113500 7.236600  
 Wed, 24 Jan 2018 11:54:02   4.112700 7.236600  
 Wed, 24 Jan 2018 11:54:04   4.113600 7.236500  
 Wed, 24 Jan 2018 11:54:06   4.113500 7.236300  
 Wed, 24 Jan 2018 11:54:08   4.112400 7.236300  
 Wed, 24 Jan 2018 11:54:10   4.112000 7.236300  
 Wed, 24 Jan 2018 11:54:11   4.112300 7.236100  
 Wed, 24 Jan 2018 11:54:13   4.111500 7.235900  
 Wed, 24 Jan 2018 11:54:15   4.110400 7.235800  
 Wed, 24 Jan 2018 11:54:17   4.110600 7.235700  
 Wed, 24 Jan 2018 11:54:19   4.110600 7.235400  
 Wed, 24 Jan 2018 11:54:20   4.109500 7.235300  
 Wed, 24 Jan 2018 11:54:22   4.108800 7.235300  
 Wed, 24 Jan 2018 11:54:24   4.109600 7.235100  
 Wed, 24 Jan 2018 11:54:26   4.109200 7.235000  
 Wed, 24 Jan 2018 11:54:28   4.108200 7.234900  
 Wed, 24 Jan 2018 11:54:29   4.108400 7.234900  
 Wed, 24 Jan 2018 11:54:31   4.109000 7.234900  
 Wed, 24 Jan 2018 11:54:33   4.108100 7.234700  
 Wed, 24 Jan 2018 11:54:35   4.107100 7.234700  
 Wed, 24 Jan 2018 11:54:37   4.107400 7.234500  
 Wed, 24 Jan 2018 11:54:38   4.107500 7.234300  
 Wed, 24 Jan 2018 11:54:40   4.106500 7.234200  
 Wed, 24 Jan 2018 11:54:42   4.105900 7.234300  
 Wed, 24 Jan 2018 11:54:44   4.106600 7.234100  
 Wed, 24 Jan 2018 11:54:46   4.106100 7.233800  
 Wed, 24 Jan 2018 11:54:47   4.105300 7.233900  
 Wed, 24 Jan 2018 11:54:49   4.105300 7.234000  
 Wed, 24 Jan 2018 11:54:51   4.105900 7.233800  
 Wed, 24 Jan 2018 11:54:53   4.106600 7.233900  
 Wed, 24 Jan 2018 11:54:55   4.106000 7.233900  
 Wed, 24 Jan 2018 11:54:56   4.105900 7.234100  
 Wed, 24 Jan 2018 11:54:58   4.106900 7.234000  
 Wed, 24 Jan 2018 11:55:00   4.106600 7.234000  
 Wed, 24 Jan 2018 11:55:02   4.105600 7.234000  
 Wed, 24 Jan 2018 11:55:04   4.105700 7.234000  
 Wed, 24 Jan 2018 11:55:05   4.106200 7.233800  
 Wed, 24 Jan 2018 11:55:07   4.105200 7.233700  
 Wed, 24 Jan 2018 11:55:09   4.104300 7.233700  
 Wed, 24 Jan 2018 11:55:11   4.104700 7.233600  
 Wed, 24 Jan 2018 11:55:13   4.104400 7.233300  
 Wed, 24 Jan 2018 11:55:14   4.102900 7.233300  
 Wed, 24 Jan 2018 11:55:16   4.102500 7.233200  
 Wed, 24 Jan 2018 11:55:18   4.102600 7.232900  
 Wed, 24 Jan 2018 11:55:20   4.101700 7.232500  
 Wed, 24 Jan 2018 11:55:22   4.100700 7.232600  
 Wed, 24 Jan 2018 11:55:23   4.101300 7.232500  
 Wed, 24 Jan 2018 11:55:25   4.102100 7.232400  
 Wed, 24 Jan 2018 11:55:27   4.101200 7.232400  
 Wed, 24 Jan 2018 11:55:29   4.100300 7.232300  
 Wed, 24 Jan 2018 11:55:31   4.100800 7.232100  
 Wed, 24 Jan 2018 11:55:32   4.100600 7.232000  
 Wed, 24 Jan 2018 11:55:34   4.099100 7.231900  
 Wed, 24 Jan 2018 11:55:36   4.099200 7.231800  
 Wed, 24 Jan 2018 11:55:38   4.099500 7.231600  
 Wed, 24 Jan 2018 11:55:40   4.098300 7.231500  
 Wed, 24 Jan 2018 11:55:41   4.097900 7.231600  
 Wed, 24 Jan 2018 11:55:43   4.098900 7.231300  
 Wed, 24 Jan 2018 11:55:45   4.098800 7.231300  
 Wed, 24 Jan 2018 11:55:47   4.097800 7.231300  
 Wed, 24 Jan 2018 11:55:49   4.097900 7.231000  
 Wed, 24 Jan 2018 11:55:50   4.099000 7.231200  
 Wed, 24 Jan 2018 11:55:52   4.098500 7.231100  
 Wed, 24 Jan 2018 11:55:54   4.097900 7.231400  
 Wed, 24 Jan 2018 11:55:56   4.098800 7.231400  
 Wed, 24 Jan 2018 11:55:58   4.099300 7.231400  
 Wed, 24 Jan 2018 11:55:59   4.098500 7.231300  
 Wed, 24 Jan 2018 11:56:01   4.098200 7.231400  
 Wed, 24 Jan 2018 11:56:03   4.099000 7.231400  
 Wed, 24 Jan 2018 11:56:05   4.098600 7.231300  
 Wed, 24 Jan 2018 11:56:07   4.097800 7.231300  
 Wed, 24 Jan 2018 11:56:08   4.098000 7.231300  
 Wed, 24 Jan 2018 11:56:10   4.098500 7.231300  
 Wed, 24 Jan 2018 11:56:12   4.098000 7.231100  
 Wed, 24 Jan 2018 11:56:14   4.097300 7.231200  
 Wed, 24 Jan 2018 11:56:16   4.098100 7.231200  
 Wed, 24 Jan 2018 11:56:17   4.098300 7.231000  
